epoch,accuracy,auc_8,loss,lr,precision_8,recall_8,val_accuracy,val_auc_8,val_loss,val_precision_8,val_recall_8
0,0.11892230808734894,0.4999195337295532,35.11920166015625,0.001,0.13073034584522247,0.09398496150970459,0.1265120953321457,0.6237491965293884,4.849061489105225,0.13712619245052338,0.0947580635547638
1,0.15112781524658203,0.6103155612945557,25.0361270904541,0.001,0.15677179396152496,0.10588972270488739,0.1386088728904724,0.5982776284217834,4.617381572723389,0.14512194693088531,0.11995967477560043
2,0.1682957410812378,0.633745551109314,23.822357177734375,0.001,0.17850767076015472,0.12531328201293945,0.18195565044879913,0.7154175639152527,4.573659420013428,0.16253967583179474,0.12903225421905518
3,0.21929824352264404,0.6770403385162354,22.510099411010742,0.001,0.22132158279418945,0.15739348530769348,0.19153225421905518,0.6589398384094238,4.385259628295898,0.19982078671455383,0.11239919066429138
4,0.21666666865348816,0.6762992739677429,21.611961364746094,0.001,0.22514721751213074,0.16290727257728577,0.16179434955120087,0.7049081325531006,4.393772125244141,0.15890751779079437,0.12903225421905518
5,0.2200501263141632,0.6860528588294983,20.915771484375,0.001,0.22563843429088593,0.1682957410812378,0.24042338132858276,0.702292799949646,4.422091007232666,0.24322034418582916,0.14465725421905518
6,0.24699248373508453,0.7035132646560669,20.810144424438477,0.001,0.25456079840660095,0.1888471245765686,0.27268144488334656,0.7426711320877075,4.073764324188232,0.2653612494468689,0.19808468222618103
7,0.2586466073989868,0.7088690996170044,19.332304000854492,0.001,0.2698783278465271,0.20288220047950745,0.2182459682226181,0.7222504615783691,4.670777797698975,0.20023909211158752,0.16885080933570862
8,0.24461153149604797,0.7064753770828247,19.704368591308594,0.001,0.2591654062271118,0.19223058223724365,0.22681452333927155,0.6887140274047852,3.9595654010772705,0.22918100655078888,0.16784274578094482
9,0.231954887509346,0.7148009538650513,18.578792572021484,0.001,0.24385908246040344,0.18909774720668793,0.27620968222618103,0.7652543783187866,4.038006782531738,0.265076220035553,0.2016129046678543
