epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.4164160490036011,0.8055230975151062,1.448509693145752,0.001,0.7326683402061462,0.18408522009849548,0.6108871102333069,0.9242855310440063,0.9610871076583862,0.7060906291007996,0.5025201439857483
1,0.6492481231689453,0.9290010929107666,0.8704702258110046,0.001,0.761385977268219,0.5342105031013489,0.6683467626571655,0.927914023399353,0.9222845435142517,0.7293281555175781,0.5690523982048035
2,0.7036340832710266,0.950551450252533,0.6671997308731079,0.001,0.7769985795021057,0.6248120069503784,0.6234878897666931,0.9283393621444702,0.974877119064331,0.6640136241912842,0.5887096524238586
3,0.7363408803939819,0.9600692391395569,0.5324090123176575,0.001,0.7940486669540405,0.6788220405578613,0.7363911271095276,0.9610257148742676,0.6780611872673035,0.7728045582771301,0.6875
4,0.7671679258346558,0.9687861800193787,0.4621935784816742,0.001,0.8182991743087769,0.7150375843048096,0.7646169066429138,0.9663590788841248,0.6328676342964172,0.8062534928321838,0.7278226017951965
5,0.7824561595916748,0.9735596179962158,0.39687830209732056,0.001,0.8212848901748657,0.7417293190956116,0.7424395084381104,0.9617125391960144,0.6907092928886414,0.7681940793991089,0.7182459831237793
6,0.7966165542602539,0.9762609004974365,0.3555908799171448,0.001,0.8297404646873474,0.7572681903839111,0.7661290168762207,0.9657466411590576,0.6359686255455017,0.7887399196624756,0.741431474685669
7,0.8114035129547119,0.979392945766449,0.34139278531074524,0.001,0.8428822755813599,0.7798245549201965,0.725806474685669,0.9581882953643799,0.7453652620315552,0.7465535402297974,0.7096773982048035
8,0.8265663981437683,0.9829157590866089,0.27031850814819336,0.001,0.8484567403793335,0.8026315569877625,0.7842742204666138,0.9707249999046326,0.5862032771110535,0.8022035956382751,0.7706653475761414
9,0.8449874520301819,0.9843420386314392,0.26183807849884033,0.001,0.8640010356903076,0.8231829404830933,0.7626007795333862,0.965790867805481,0.6652359366416931,0.7733681201934814,0.7464717626571655
10,0.845363438129425,0.9859443306922913,0.24032291769981384,0.001,0.862727165222168,0.8269423842430115,0.6502016186714172,0.9266684651374817,1.1147303581237793,0.6622551679611206,0.6305443644523621
11,0.8515037298202515,0.986051082611084,0.22807763516902924,0.001,0.8682180643081665,0.8322055339813232,0.6980846524238586,0.9434001445770264,0.931640625,0.7066805958747864,0.6824596524238586
12,0.8611528873443604,0.9880334734916687,0.20540377497673035,0.001,0.876073956489563,0.8433583974838257,0.7560483813285828,0.9584107995033264,0.7345128059387207,0.7699947953224182,0.7424395084381104
13,0.8724310994148254,0.9891223311424255,0.18116408586502075,0.001,0.8865872621536255,0.8581453561782837,0.7328628897666931,0.955960750579834,0.826209306716919,0.7412986755371094,0.7192540168762207
14,0.8872180581092834,0.9912817478179932,0.17072704434394836,0.000100000005,0.8971362709999084,0.8754385709762573,0.7903226017951965,0.9674153327941895,0.6344624161720276,0.8008298873901367,0.7782257795333862
15,0.8958646655082703,0.9925343990325928,0.13364355266094208,0.000100000005,0.9080415368080139,0.8872180581092834,0.7933467626571655,0.9690276384353638,0.6227397322654724,0.8061171770095825,0.7837701439857483
16,0.9017543792724609,0.9929184913635254,0.13579581677913666,0.000100000005,0.9113161563873291,0.8911027312278748,0.7998992204666138,0.9718790054321289,0.5892127156257629,0.8143153786659241,0.7913306355476379
17,0.9033834338188171,0.9930691123008728,0.13050681352615356,0.000100000005,0.9136847257614136,0.8927318453788757,0.7842742204666138,0.9672962427139282,0.6514617204666138,0.7978113889694214,0.7716733813285828
18,0.897744357585907,0.9928208589553833,0.12592749297618866,0.000100000005,0.9074121713638306,0.8867167830467224,0.8004032373428345,0.9696354866027832,0.6171756982803345,0.8090062141418457,0.7878023982048035
19,0.9037594199180603,0.9935505986213684,0.12252665311098099,1.0000001e-05,0.911287248134613,0.8933584094047546,0.8009072542190552,0.9701385498046875,0.6065989136695862,0.8105590343475342,0.7893145084381104
20,0.9087719321250916,0.9941107034683228,0.10861224681138992,1.0000001e-05,0.9165279865264893,0.8971177935600281,0.7998992204666138,0.9702546000480652,0.6097471117973328,0.8093023300170898,0.7893145084381104
21,0.9070175290107727,0.9936164617538452,0.11560364812612534,1.0000001e-05,0.9159717559814453,0.8947368264198303,0.7988911271095276,0.9697790145874023,0.6096644401550293,0.8087629079818726,0.7908266186714172
22,0.9087719321250916,0.9942319393157959,0.10737372189760208,1.0000001e-05,0.918307363986969,0.9001253247261047,0.8014112710952759,0.9706891775131226,0.5965064167976379,0.8131130337715149,0.7938507795333862
23,0.9057644009590149,0.993845522403717,0.11318934708833694,1.0000001e-05,0.9166132211685181,0.8953633904457092,0.8024193644523621,0.9708732962608337,0.5924032926559448,0.8111454844474792,0.7923387289047241
24,0.9092732071876526,0.9940571784973145,0.11731526255607605,1.0000001e-06,0.9193507432937622,0.9013784527778625,0.8044354915618896,0.9714276790618896,0.5900465250015259,0.8124678134918213,0.7948588728904724
