epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.446616530418396,0.8062731027603149,0.0010000000474974513,1.7661229372024536,0.5227177739143372,0.3142857253551483,0.4808467626571655,0.8418996334075928,1.3567851781845093,0.6244897842407227,0.3084677457809448
1,0.375,0.7369791269302368,0.0010000000474974513,0.6264292001724243,0.4285714328289032,0.1875,0.7368420958518982,0.9506001472473145,0.41095155477523804,0.8461538553237915,0.5789473652839661
2,0.5317042469978333,0.8689444661140442,0.0010000000474974513,1.2457916736602783,0.647628664970398,0.4021303355693817,0.6517137289047241,0.9306169152259827,0.9160652160644531,0.825944185256958,0.507056474685669
3,0.78125,0.9348958134651184,0.0010000000474974513,0.4783991873264313,0.800000011920929,0.625,0.5789473652839661,0.9522160291671753,0.4020039439201355,0.75,0.4736842215061188
4,0.5532581210136414,0.8856583833694458,0.0010000000474974513,1.1385493278503418,0.6731517314910889,0.43358394503593445,0.5856854915618896,0.9107762575149536,1.0310121774673462,0.7395161390304565,0.46219757199287415
5,0.5,0.8749186396598816,0.0010000000474974513,0.3894399404525757,0.6666666865348816,0.375,0.42105263471603394,0.8268698453903198,0.6845554113388062,0.6000000238418579,0.31578946113586426
6,0.5884711742401123,0.9036538004875183,0.0010000000474974513,1.0098228454589844,0.695115327835083,0.4796992540359497,0.617943525314331,0.9269618391990662,0.9362912774085999,0.7311452627182007,0.5277217626571655
7,0.65625,0.890625,0.0010000000474974513,0.7817921042442322,0.761904776096344,0.5,0.5789473652839661,0.9434441328048706,0.42311060428619385,0.7692307829856873,0.5263158082962036
8,0.599373459815979,0.911517322063446,0.0010000000474974513,0.9677819609642029,0.6997535824775696,0.49824562668800354,0.6073588728904724,0.9192579388618469,0.9950617551803589,0.6936758756637573,0.5307459831237793
9,0.5,0.8807779550552368,0.00010000000474974513,0.7943194508552551,0.5833333134651184,0.4375,0.7368420958518982,0.945983350276947,0.3915649354457855,0.800000011920929,0.6315789222717285
