epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.3224710524082184,0.7112671732902527,1.8061977624893188,1e-04,0.49718308448791504,0.04441368952393532,0.4838709533214569,0.8138381242752075,1.499432921409607,0.7551020383834839,0.05594757944345474
1,0.4672873616218567,0.8167114853858948,1.430105209350586,1e-04,0.6717311143875122,0.18356819450855255,0.5166330933570862,0.8575507998466492,1.3233367204666138,0.7403509020805359,0.21270161867141724
2,0.5139657855033875,0.8487565517425537,1.2672998905181885,1e-04,0.6971075534820557,0.26987922191619873,0.5796371102333069,0.8898981809616089,1.1761277914047241,0.7776442170143127,0.3261088728904724
3,0.5508304238319397,0.8728389143943787,1.195298194885254,1e-04,0.7339874505996704,0.33882737159729004,0.5579637289047241,0.8770827054977417,1.219947099685669,0.7406103014945984,0.31804436445236206
4,0.5723452568054199,0.8823304176330566,1.1168265342712402,1e-04,0.7474920749664307,0.38437342643737793,0.5740927457809448,0.8892211318016052,1.156958818435669,0.744615375995636,0.36592742800712585
5,0.5835430026054382,0.8889926671981812,1.0556350946426392,1e-04,0.7551546096801758,0.405510812997818,0.647681474685669,0.9190362691879272,1.000441074371338,0.8233720064163208,0.4652217626571655
6,0.607448399066925,0.9001586437225342,1.0285918712615967,1e-04,0.7616750597953796,0.43709108233451843,0.5675403475761414,0.879177987575531,1.193800449371338,0.7400204539299011,0.36441531777381897
7,0.6029189825057983,0.9004281163215637,0.9872215986251831,1e-04,0.7491981983184814,0.4408656358718872,0.6486895084381104,0.9225215911865234,0.9752236604690552,0.7955895066261292,0.4727822542190552
8,0.6264469027519226,0.9119471907615662,0.9162989854812622,1e-04,0.7707327008247375,0.48175641894340515,0.6350806355476379,0.9195470809936523,0.9884859919548035,0.7835570573806763,0.4707661271095276
9,0.6318570971488953,0.916890561580658,0.8837154507637024,1e-04,0.7719298005104065,0.49270257353782654,0.6446572542190552,0.9192593097686768,0.9864698648452759,0.7739059925079346,0.4813508093357086
