epoch,accuracy,auc_1,learning_rate,loss,precision_1,recall_1,val_accuracy,val_auc_1,val_loss,val_precision_1,val_recall_1
0,0.575124979019165,0.8980117440223694,0.0010000000474974513,1.2973089218139648,0.6780428290367126,0.4867500066757202,0.6683467626571655,0.9337373375892639,0.9172584414482117,0.7524557709693909,0.5791330933570862
1,0.4166666567325592,0.8460648059844971,0.0010000000474974513,0.6585192084312439,0.5,0.3333333432674408,0.7368420958518982,0.9168974757194519,0.6329349875450134,0.75,0.6315789222717285
2,0.57506263256073,0.8982028961181641,0.0010000000474974513,1.3240464925765991,0.6730212569236755,0.4954887330532074,0.6255040168762207,0.9194358587265015,0.9953916072845459,0.7319884896278381,0.5120967626571655
3,0.4375,0.7953287959098816,0.0010000000474974513,0.7209562063217163,0.5,0.34375,0.5789473652839661,0.8776547312736511,0.6395598649978638,0.6428571343421936,0.4736842215061188
4,0.582456111907959,0.9052497148513794,0.0010000000474974513,1.2687064409255981,0.6822793483734131,0.5056390762329102,0.7237903475761414,0.9475311040878296,0.810913622379303,0.8060762882232666,0.6285282373428345
5,0.5625,0.868815004825592,0.0010000000474974513,0.49802932143211365,0.5714285969734192,0.5,0.7368420958518982,0.9554478526115417,0.38878417015075684,0.8235294222831726,0.7368420958518982
6,0.5776942372322083,0.8969168066978455,0.0010000000474974513,1.3008995056152344,0.6670528054237366,0.5051378607749939,0.7323588728904724,0.9477309584617615,0.8283906579017639,0.802431583404541,0.6653226017951965
7,0.65625,0.9444987177848816,0.0010000000474974513,0.6758150458335876,0.7241379022598267,0.65625,0.7894737124443054,0.9607571959495544,0.3384300470352173,0.8666666746139526,0.6842105388641357
8,0.5868421196937561,0.9020407199859619,0.0010000000474974513,1.3250828981399536,0.672416627407074,0.5177944898605347,0.7167338728904724,0.9444635510444641,0.8753933906555176,0.7849661111831665,0.6421371102333069
9,0.53125,0.8511556386947632,0.0010000000474974513,0.2812183201313019,0.6000000238418579,0.46875,0.6842105388641357,0.9621422290802002,0.3607117831707001,0.7647058963775635,0.6842105388641357
