epoch,accuracy,auc_5,learning_rate,loss,precision_5,recall_5,val_accuracy,val_auc_5,val_loss,val_precision_5,val_recall_5
0,0.6057643890380859,0.9142759442329407,0.0010000000474974513,0.9920122623443604,0.7100411653518677,0.4971177875995636,0.6622983813285828,0.9400926828384399,0.8408656716346741,0.7735719084739685,0.5665322542190552
1,0.59375,0.8849284052848816,0.0010000000474974513,0.44798922538757324,0.7272727489471436,0.5,0.5789473652839661,0.8543397784233093,0.694476842880249,0.6153846383094788,0.42105263471603394
2,0.6205514073371887,0.9215880036354065,0.0010000000474974513,0.9196687340736389,0.7317333221435547,0.5157894492149353,0.649193525314331,0.9408178925514221,0.849716305732727,0.7154222726821899,0.5892137289047241
3,0.625,0.9100748896598816,0.0010000000474974513,0.3707157075405121,0.7727272510528564,0.53125,0.4736842215061188,0.8596491813659668,0.6991769075393677,0.6153846383094788,0.42105263471603394
4,0.6152881979942322,0.9212234616279602,0.0010000000474974513,0.9278162121772766,0.7246197462081909,0.5134085416793823,0.6481854915618896,0.9423378705978394,0.8367167711257935,0.7275080680847168,0.5665322542190552
5,0.84375,0.95361328125,0.0010000000474974513,0.1386130303144455,0.8965517282485962,0.8125,0.5789473652839661,0.9005078673362732,0.5550443530082703,0.625,0.5263158082962036
6,0.6285714507102966,0.9273157715797424,0.0010000000474974513,0.8813984990119934,0.7345409989356995,0.5284461379051208,0.6486895084381104,0.9406084418296814,0.8481040000915527,0.7117283940315247,0.5811492204666138
7,0.59375,0.9283039569854736,0.0010000000474974513,0.4169938266277313,0.6071428656578064,0.53125,0.7894737124443054,0.977839469909668,0.2347898781299591,0.8235294222831726,0.7368420958518982
8,0.640350878238678,0.9289231896400452,0.0010000000474974513,0.8651917576789856,0.7430649399757385,0.5505012273788452,0.7096773982048035,0.9555041790008545,0.7228206992149353,0.7871255874633789,0.6224798560142517
9,0.78125,0.9823404550552368,0.0010000000474974513,0.19412587583065033,0.8333333134651184,0.78125,0.8947368264198303,0.9886887669563293,0.18172858655452728,0.9411764740943909,0.8421052694320679
