epoch,accuracy,auc_3,learning_rate,loss,precision_3,recall_3,val_accuracy,val_auc_3,val_loss,val_precision_3,val_recall_3
0,0.44874686002731323,0.8008052110671997,0.0010000000474974513,1.7035247087478638,0.5279555916786194,0.31002506613731384,0.6255040168762207,0.9195607304573059,0.9767966270446777,0.7721115350723267,0.4884072542190552
1,0.40625,0.7810872197151184,0.0010000000474974513,0.6880345344543457,0.5555555820465088,0.3125,0.6842105388641357,0.9628347754478455,0.34670209884643555,0.6875,0.5789473652839661
2,0.5115288496017456,0.8586403131484985,0.0010000000474974513,1.2949260473251343,0.6585031151771545,0.36052632331848145,0.6502016186714172,0.9361070394515991,0.8697189092636108,0.7634252309799194,0.5302419066429138
3,0.46875,0.861083984375,0.0010000000474974513,1.6179423332214355,0.6470588445663452,0.34375,0.6315789222717285,0.9351339340209961,0.4388856887817383,0.8333333134651184,0.5263158082962036
4,0.5323308110237122,0.8716402053833008,0.0010000000474974513,1.232735514640808,0.6660876870155334,0.3844611644744873,0.5660282373428345,0.8980684876441956,1.0968143939971924,0.7031999826431274,0.44304436445236206
5,0.21875,0.7543131709098816,0.0010000000474974513,0.5976859331130981,0.3529411852359772,0.1875,0.6842105388641357,0.9372114539146423,0.44382646679878235,0.7857142686843872,0.5789473652839661
6,0.541979968547821,0.8815641403198242,0.0010000000474974513,1.1753171682357788,0.6701266169548035,0.4045112729072571,0.6940523982048035,0.9444683194160461,0.8171771764755249,0.8260869383811951,0.5745967626571655
7,0.53125,0.8970540761947632,0.00010000000474974513,0.7848977446556091,0.6666666865348816,0.4375,0.8421052694320679,0.9755309224128723,0.3103265166282654,0.875,0.7368420958518982
8,0.5892230868339539,0.9065921902656555,0.00010000000474974513,1.0330896377563477,0.7150226831436157,0.43421053886413574,0.6653226017951965,0.9379101991653442,0.858539879322052,0.7901946902275085,0.5524193644523621
9,0.65625,0.915283203125,0.00010000000474974513,0.529271125793457,0.8260869383811951,0.59375,0.7368420958518982,0.9755309224128723,0.2740142345428467,0.9333333373069763,0.7368420958518982
