epoch,accuracy,auc_7,learning_rate,loss,precision_7,recall_7,val_accuracy,val_auc_7,val_loss,val_precision_7,val_recall_7
0,0.4964912235736847,0.849226713180542,0.0010000000474974513,1.3883161544799805,0.6778322458267212,0.31190475821495056,0.6129032373428345,0.9242078065872192,0.9701971411705017,0.800744891166687,0.4334677457809448
1,0.5,0.8850911855697632,0.0010000000474974513,0.6053053140640259,0.6000000238418579,0.375,0.5789473652839661,0.9187442064285278,0.5110207796096802,0.7272727489471436,0.42105263471603394
2,0.5058897137641907,0.8639002442359924,0.0010000000474974513,1.356661319732666,0.678642213344574,0.3432330787181854,0.5735887289047241,0.9043697118759155,1.0623235702514648,0.7883211970329285,0.38104838132858276
3,0.25,0.7399088740348816,0.0010000000474974513,0.6976367235183716,0.2666666805744171,0.125,0.6315789222717285,0.93282550573349,0.4523104727268219,0.800000011920929,0.42105263471603394
4,0.510776937007904,0.8694469928741455,0.0010000000474974513,1.3678172826766968,0.688177227973938,0.3581453561782837,0.6194556355476379,0.9230045080184937,0.9509875774383545,0.7821457982063293,0.4813508093357086
5,0.53125,0.8540852665901184,0.0010000000474974513,0.7146357893943787,0.6000000238418579,0.375,0.7368420958518982,0.9566019773483276,0.3777124583721161,0.9230769276618958,0.6315789222717285
6,0.529573917388916,0.8770557045936584,0.0010000000474974513,1.2797695398330688,0.6950088143348694,0.39436089992523193,0.5010080933570862,0.8651321530342102,1.268487572669983,0.6369258165359497,0.3634072542190552
7,0.15625,0.6549478769302368,0.0010000000474974513,1.1183750629425049,0.13333334028720856,0.0625,0.5263158082962036,0.9245152473449707,0.5049864053726196,0.5714285969734192,0.42105263471603394
8,0.5121554136276245,0.8687564134597778,0.0010000000474974513,1.276138424873352,0.6759217381477356,0.3721804618835449,0.6239919066429138,0.9176852703094482,0.9830390214920044,0.7884458899497986,0.4884072542190552
9,0.5,0.8799641132354736,0.0010000000474974513,0.5037424564361572,0.6666666865348816,0.4375,0.5789473652839661,0.9231302738189697,0.47102561593055725,0.8181818127632141,0.4736842215061188
